fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-24 09:10:21,Sin sesión,,,,12,AIRE-02,,1861.106,7372.0,5578.0,3.0,0.0,0.0,13.4,64.2,92.5,238.0,0.0,27.75,12.08,11371.22,483.0,37197.0,4771.0,4932.0,3746.0,3776.0,3737.0,3825.0,14.6,52.9,8.0,7.0,31.0,0.0,0.0,0.0,0.0,25.0
2025-10-24 09:15:21,Sin sesión,,,,12,AIRE-02,,1861.859,7394.0,5615.0,3.0,0.0,39.0,13.9,62.8,92.5,257.0,0.5,28.0,12.08,11367.18,491.0,37203.0,4794.0,4923.0,3769.0,3796.0,3755.0,3836.0,14.8,52.7,7.0,7.0,31.0,0.0,0.0,0.0,0.0,25.0
2025-10-24 09:20:20,Sin sesión,,,,12,AIRE-02,,1861.132,7359.0,5563.0,3.0,0.0,0.0,13.7,61.7,92.5,246.0,0.0,28.25,12.08,11371.9,492.0,37196.0,4766.0,4947.0,3713.0,3788.0,3689.0,3812.0,14.9,52.1,8.0,7.0,31.0,0.0,0.0,0.0,0.0,25.0
2025-10-24 09:25:20,Sin sesión,,,,12,AIRE-02,,1860.222,7436.0,5588.0,3.0,0.0,0.0,14.0,61.3,92.5,272.0,0.0,28.5,12.08,11363.13,487.0,37209.0,4841.0,4951.0,3716.0,3785.0,3731.0,3840.0,15.1,52.1,9.0,9.0,31.0,0.0,0.0,0.0,0.0,25.0
2025-10-24 09:30:21,Sin sesión,,,,12,AIRE-02,,1861.749,7139.0,5610.0,3.0,0.0,0.0,13.9,61.6,92.5,275.0,0.0,28.75,12.08,11376.61,499.0,37189.0,4826.0,4978.0,3713.0,3792.0,3731.0,3837.0,15.3,51.2,9.0,9.0,31.0,0.0,0.0,0.0,0.0,25.0
2025-10-24 09:35:21,Sin sesión,,,,12,AIRE-02,,1862.012,7089.0,5615.0,4.0,0.0,0.0,14.6,59.6,92.5,339.0,0.0,29.0,12.08,11367.18,489.0,37203.0,4835.0,4936.0,3738.0,3784.0,3774.0,3893.0,15.5,50.7,11.0,9.0,31.0,0.0,0.0,0.0,0.0,24.0
2025-10-24 09:40:21,Sin sesión,,,,12,AIRE-02,,1861.484,7251.0,5669.0,5.0,0.0,0.0,15.1,58.7,92.5,399.0,0.0,29.25,12.08,11365.83,486.0,37205.0,4898.0,5040.0,3797.0,3839.0,3796.0,3880.0,15.8,50.4,8.0,8.0,31.0,0.0,0.0,0.0,0.0,24.0
2025-10-24 09:45:21,Sin sesión,,,,12,AIRE-02,,1862.059,7282.0,5751.0,4.0,0.0,0.0,15.4,57.2,92.5,382.0,0.7,29.75,12.08,11369.87,508.0,37199.0,4911.0,5027.0,3771.0,3844.0,3755.0,3880.0,16.1,50.2,10.0,8.0,31.0,0.0,0.0,0.0,0.0,24.0
2025-10-24 09:50:21,Sin sesión,,,,12,AIRE-02,,1861.759,7331.0,5706.0,4.0,0.0,0.0,15.1,57.8,92.5,368.0,0.0,30.0,12.08,11358.42,493.0,37216.0,4924.0,5040.0,3741.0,3834.0,3717.0,3859.0,16.2,49.5,12.0,11.0,31.0,0.0,0.0,0.0,0.0,25.0
2025-10-24 09:55:21,Sin sesión,,,,12,AIRE-02,,1862.15,7331.0,5660.0,4.0,0.0,0.0,15.1,58.8,92.5,343.0,0.0,30.25,12.08,11361.11,498.0,37212.0,4854.0,5015.0,3761.0,3826.0,3760.0,3860.0,16.3,49.2,11.0,10.0,31.0,0.0,0.0,0.0,0.0,25.0
